ID	DOCULECT	CONCEPT	VALUE	IPA	TOKENS	SEGMENTS	MORPHEMES	COGIDS	AUTOID	STRICTID	LOOSEID	CHARACTERS_IS	CHARACTERS	LEXEME_NOTE	CONCEPT_CHINESE	STRUCTURE	NOTE
1721	Fuzhou	star	siŋ⁵⁵	siŋ⁵⁵	s i ŋ ⁵⁵	s i ŋ ⁵⁵	STAR	356	847	746	412	星	星		星星	i n c t	
1722	Xiamen	star	tsʰiæ⁵⁵	tsʰjæ⁵⁵	tsʰ j æ ⁵⁵	tsʰ i æ ⁵⁵	STAR	356	847	746	412	星	星		星星	i m n t	
1723	Beijing	snow	ɕyɛ²¹³	ɕɥɛ²¹³	ɕ ɥ ɛ ²¹³	ɕ y ɛ ²¹³	SNOW	358	817	716	390	雪	雪		雪	i m n t	
1724	Ha_erbin	snow	ɕyɛ²¹³	ɕɥɛ²¹³	ɕ ɥ ɛ ²¹³	ɕ y ɛ ²¹³	SNOW	358	817	716	390	雪	雪		雪	i m n t	
1725	Jinan	snow	ɕyɤ²¹⁴	ɕɥɤ²¹⁴	ɕ ɥ ɤ ²¹⁴	ɕ y ɤ ²¹⁴	SNOW	358	817	716	390	雪	雪		雪	i m n t	
1726	Rongcheng	snow	siɛ²¹⁴	sjɛ²¹⁴	s j ɛ ²¹⁴	s i ɛ ²¹⁴	SNOW	358	817	716	390	雪	雪		雪	i m n t	
1727	Taiyuan	snow	ɕyəʔ²	ɕɥəʔ²	ɕ ɥ ə ʔ ²	ɕ y ə ʔ ²	SNOW	358	817	716	390	雪	雪		雪	i m n c t	
1728	Xi_an	snow	ɕyɛ²¹	ɕɥɛ²¹	ɕ ɥ ɛ ²¹	ɕ y ɛ ²¹	SNOW	358	817	716	390	雪	雪		雪	i m n t	
1729	Chengdu	snow	ɕye²¹	ɕɥe²¹	ɕ ɥ e ²¹	ɕ y e ²¹	SNOW	358	817	716	390	雪	雪		雪	i m n t	
1730	Nanjing	snow	ɕyeʔ⁵	ɕɥeʔ⁵	ɕ ɥ e ʔ ⁵	ɕ y e ʔ ⁵	SNOW	358	817	716	390	雪	雪		雪	i m n c t	
1731	Jixi	snow	ɕiaʔ³²*	ɕjaʔ³²	ɕ j a ʔ ³²	ɕ i a ʔ ³²*/³²	SNOW	358	817	716	390	雪	雪		雪	i m n c t	
1732	Suzhou	snow	siəʔ⁴	sjəʔ⁴	s j ə ʔ ⁴	s i ə ʔ ⁴	SNOW	358	817	716	390	雪	雪		雪	i m n c t	
1733	Wenzhou	snow	ɕy⁴¹	ɕy⁴¹	ɕ y ⁴¹	ɕ y ⁴¹	SNOW	358	817	716	390	雪	雪		雪	i n t	
1734	Changsha	snow	ɕie²⁴	ɕje²⁴	ɕ j e ²⁴	ɕ i e ²⁴	SNOW	358	817	716	390	雪	雪		雪	i m n t	
1735	Loudi	snow	sue¹³	swe¹³	s w e ¹³	s u e ¹³	SNOW	358	817	716	390	雪	雪		雪	i m n t	
1736	Nanchang	snow	ɕyet⁵	ɕɥet⁵	ɕ ɥ e t ⁵	ɕ y e t ⁵	SNOW	358	817	716	390	雪	雪		雪	i m n c t	
1737	Meixian	snow	siet¹	sjet¹	s j e t ¹	s i e t ¹	SNOW	358	817	716	390	雪	雪		雪	i m n c t	
1738	Guilin	snow	ɕye⁵⁵	ɕɥe⁵⁵	ɕ ɥ e ⁵⁵	ɕ y e ⁵⁵	SNOW	358	817	716	390	雪	雪		雪	i m n t	
1739	Guangzhou	snow	syt³	syt³	s y t ³	s y t ³	SNOW	358	817	716	390	雪	雪		雪	i n c t	
1740	Fuzhou	snow	suoʔ²⁴*	swoʔ²⁴	s w o ʔ ²⁴	s u o ʔ */²⁴	SNOW	358	817	716	390	雪	雪		雪	i m n c t	
1741	Xiamen	snow	seʔ³²*	seʔ³²	s e ʔ ³²	s e ʔ ³²*/³²	SNOW	358	817	716	390	雪	雪		雪	i n c t	
1742	Beijing	blood	ɕyɛ²¹³	ɕɥɛ²¹³	ɕ ɥ ɛ ²¹³	ɕ y ɛ ²¹³	BLOOD	359	55	51	33	血	血		血	i m n t	
1743	Ha_erbin	blood	ɕyɛ²¹³	ɕɥɛ²¹³	ɕ ɥ ɛ ²¹³	ɕ y ɛ ²¹³	BLOOD	359	55	51	33	血	血		血	i m n t	
1744	Jinan	blood	ɕiə²¹⁴	ɕjə²¹⁴	ɕ j ə ²¹⁴	ɕ i ə ²¹⁴	BLOOD	359	55	51	33	血	血		血	i m n t	
1745	Rongcheng	blood	siɛ²¹⁴	sjɛ²¹⁴	s j ɛ ²¹⁴	s i ɛ ²¹⁴	BLOOD	359	55	51	33	血	血		血	i m n t	
1746	Taiyuan	blood	ɕyəʔ²	ɕɥəʔ²	ɕ ɥ ə ʔ ²	ɕ y ə ʔ ²	BLOOD	359	55	51	33	血	血		血	i m n c t	
1747	Xi_an	blood	ɕiɛ²¹	ɕjɛ²¹	ɕ j ɛ ²¹	ɕ i ɛ ²¹	BLOOD	359	55	51	33	血	血		血	i m n t	
1748	Chengdu	blood	ɕye²¹	ɕɥe²¹	ɕ ɥ e ²¹	ɕ y e ²¹	BLOOD	359	55	51	33	血	血		血	i m n t	
1749	Nanjing	blood	ɕyeʔ⁵	ɕɥeʔ⁵	ɕ ɥ e ʔ ⁵	ɕ y e ʔ ⁵	BLOOD	359	55	51	33	血	血		血	i m n c t	
1750	Jixi	blood	ɕyaʔ³²*	ɕɥaʔ³²	ɕ ɥ a ʔ ³²	ɕ y a ʔ ³²*/³²	BLOOD	359	55	51	33	血	血		血	i m n c t	
1751	Suzhou	blood	ɕyəʔ⁴	ɕɥəʔ⁴	ɕ ɥ ə ʔ ⁴	ɕ y ə ʔ ⁴	BLOOD	359	55	51	33	血	血		血	i m n c t	
1752	Wenzhou	blood	ɕy⁴¹	ɕy⁴¹	ɕ y ⁴¹	ɕ y ⁴¹	BLOOD	359	55	51	33	血	血		血	i n t	
1753	Changsha	blood	ɕie²⁴	ɕje²⁴	ɕ j e ²⁴	ɕ i e ²⁴	BLOOD	359	55	51	33	血	血		血	i m n t	
1754	Loudi	blood	sue¹³	swe¹³	s w e ¹³	s u e ¹³	BLOOD	359	55	51	33	血	血		血	i m n t	
1755	Nanchang	blood	ɕyet⁵	ɕɥet⁵	ɕ ɥ e t ⁵	ɕ y e t ⁵	BLOOD	359	55	51	33	血	血		血	i m n c t	
1756	Meixian	blood	çiat¹	çjat¹	ç j a t ¹	ç i a t ¹	BLOOD	359	55	51	33	血	血		血	i m n c t	
1757	Guilin	blood	ɕye⁵⁵	ɕɥe⁵⁵	ɕ ɥ e ⁵⁵	ɕ y e ⁵⁵	BLOOD	359	55	51	33	血	血		血	i m n t	
1758	Guangzhou	blood	hyt³	hyt³	h y t ³	h y t ³	BLOOD	359	55	51	33	血	血		血	i n c t	
1759	Fuzhou	blood	haiʔ²⁴*	haiʔ²⁴	h ai ʔ ²⁴	h a i ʔ */²⁴	BLOOD	359	55	51	33	血	血		血	i n N c t	
1760	Xiamen	blood	huiʔ³²*	hwiʔ³²	h w i ʔ ³²	h u i ʔ ³²*/³²	BLOOD	359	55	51	33	血	血		血	i m n c t	
1761	Beijing	squeeze	iᴀ⁵⁵	ja̠⁵⁵	j a̠ ⁵⁵	i a̠ ⁵⁵	SQUEEZE	360	831	729	398	壓	壓		壓	m n t	
1762	Ha_erbin	squeeze	ia⁴⁴	ja⁴⁴	j a ⁴⁴	i a ⁴⁴	SQUEEZE	360	831	729	398	壓	壓		壓	m n t	
1763	Jinan	squeeze	ia²¹⁴	ja²¹⁴	j a ²¹⁴	i a ²¹⁴	SQUEEZE	360	831	729	398	壓	壓		壓	m n t	
1764	Rongcheng	squeeze	ia²¹⁴	ja²¹⁴	j a ²¹⁴	i a ²¹⁴	SQUEEZE	360	831	729	398	壓	壓		壓	m n t	
1765	Taiyuan	squeeze	ia⁴⁵	ja⁴⁵	j a ⁴⁵	i a ⁴⁵	SQUEEZE	360	831	729	398	壓	壓		壓	m n t	
1766	Taiyuan	squeeze	tɕi⁵³	tɕi⁵³	tɕ i ⁵³	tɕ i ⁵³	SQUEEZE	361	833	730	400	挤	挤		壓	i n t	
1767	Xi_an	squeeze	ȵiɑ²¹	ɲjɑ²¹	ɲ j ɑ ²¹	ɲ i ɑ ²¹	SQUEEZE	360	831	729	398	壓	壓		壓	i m n t	
1768	Chengdu	squeeze	tsa²¹³	tsa²¹³	ts a ²¹³	ts a ²¹³	SQUEEZE	362	832	731	399	榨	榨		壓	i n t	
1769	Chengdu	squeeze	ŋa⁴⁵	ŋa⁴⁵	ŋ a ⁴⁵	ŋ a ⁴⁵	SQUEEZE	360	831	729	398	壓	壓		壓	i n t	
1770	Nanjing	squeeze	tɕi¹¹	tɕi¹¹	tɕ i ¹¹	tɕ i ¹¹	SQUEEZE	361	833	730	400	挤	挤		壓	i n t	
1771	Nanjing	squeeze	tsɑʔ⁵	tsɑʔ⁵	ts ɑ ʔ ⁵	ts ɑ ʔ ⁵	SQUEEZE	362	832	731	399	榨	榨		壓	i n c t	
1772	Nanjing	squeeze	iɑʔ⁵	jɑʔ⁵	j ɑ ʔ ⁵	i ɑ ʔ ⁵	SQUEEZE	360	831	729	398	壓	壓		壓	m n c t	
1773	Jixi	squeeze	tso³⁵	tso³⁵	ts o ³⁵	ts o ³⁵	SQUEEZE	362	832	731	399	榨	榨		壓	i n t	
1774	Suzhou	squeeze	ɑʔ⁴	ɑʔ⁴	ɑ ʔ ⁴	ɑ ʔ ⁴	SQUEEZE	360	831	729	398	壓	壓		壓	n c t	
1775	Wenzhou	squeeze	a⁴¹	a⁴¹	a ⁴¹	a ⁴¹	SQUEEZE	360	831	729	398	壓	壓		壓	n t	
1776	Changsha	squeeze	ia²⁴	ja²⁴	j a ²⁴	i a ²⁴	SQUEEZE	360	831	729	398	壓	壓		壓	m n t	
1777	Loudi	squeeze	ia¹³	ja¹³	j a ¹³	i a ¹³	SQUEEZE	360	831	729	398	壓	壓		壓	m n t	
1778	Loudi	squeeze	tsʰe⁴² tɤ⁰	tsʰe⁴²+tɤ⁰	tsʰ e ⁴² + t ɤ ⁰	tsʰ e ⁴² + t ɤ ⁰	SQUEEZE _squeeze	8 256	834	732	401	囗得	囗 得		壓	i n t + i n t	
1779	Nanchang	squeeze	ŋat⁵	ŋat⁵	ŋ a t ⁵	ŋ a t ⁵	SQUEEZE	360	831	729	398	壓	壓		壓	i n c t	
1780	Nanchang	squeeze	tɕi²¹³	tɕi²¹³	tɕ i ²¹³	tɕ i ²¹³	SQUEEZE	361	833	730	400	挤	挤		壓	i n t	
1781	Meixian	squeeze	ap¹	ap¹	a p ¹	a p ¹	SQUEEZE	360	831	729	398	壓	壓		壓	n c t	
1782	Guilin	squeeze	ŋa⁵⁵	ŋa⁵⁵	ŋ a ⁵⁵	ŋ a ⁵⁵	SQUEEZE	360	831	729	398	壓	壓		壓	i n t	
1783	Guangzhou	squeeze	ŋat³	ŋat³	ŋ a t ³	ŋ a t ³	SQUEEZE	360	831	729	398	壓	壓		壓	i n c t	
1784	Fuzhou	squeeze	taʔ²⁴*	taʔ²⁴	t a ʔ ²⁴	t a ʔ */²⁴	SQUEEZE	360	831	729	398	壓	壓		壓	i n c t	
1785	Xiamen	squeeze	teʔ³²*	teʔ³²	t e ʔ ³²	t e ʔ ³²*/³²	SQUEEZE	360	831	729	398	壓	壓		壓	i n c t	
1786	Beijing	tooth	iᴀ³⁵ tʂʰʅ²¹³	ja̠³⁵+ʈʂʰʅ²¹³	j a̠ ³⁵ + ʈʂʰ ʅ ²¹³	i a̠ ³⁵ + ʈʂʰ ʅ ²¹³	TOOTH _tooth	363 364	988	857	481	牙齒	牙 齒		牙齒	m n t + i n t	
1787	Ha_erbin	tooth	ia²⁴	ja²⁴	j a ²⁴	i a ²⁴	TOOTH	363	988	858	481	牙	牙		牙齒	m n t	
1788	Jinan	tooth	ia⁵³ tʂʰʅ⁴⁵	ja⁵³+ʈʂʰʅ⁴⁵	j a ⁵³ + ʈʂʰ ʅ ⁴⁵	i a ⁵³ + ʈʂʰ ʅ ⁴⁵	TOOTH _tooth	363 364	988	857	481	牙齒	牙 齒		牙齒	m n t + i n t	
1789	Rongcheng	tooth	ia⁵² tʂʰʅ²¹⁴	ja⁵²+ʈʂʰʅ²¹⁴	j a ⁵² + ʈʂʰ ʅ ²¹⁴	i a ⁵² + ʈʂʰ ʅ ²¹⁴	TOOTH _tooth	363 364	988	857	481	牙齒	牙 齒		牙齒	m n t + i n t	
1790	Taiyuan	tooth	ia²¹ tsʰɿ⁵³	ja²¹+tsʰɿ⁵³	j a ²¹ + tsʰ ɿ ⁵³	i a ²¹ + tsʰ ɿ ⁵³	TOOTH _tooth	363 364	988	857	481	牙齒	牙 齒		牙齒	m n t + i n t	
1791	Xi_an	tooth	ȵiɑ²⁴ tsʰɿ⁰	ɲjɑ²⁴+tsʰɿ⁰	ɲ j ɑ ²⁴ + tsʰ ɿ ⁰	ɲ i ɑ ²⁴ + tsʰ ɿ ⁰	TOOTH _tooth	363 364	988	857	481	牙齒	牙 齒		牙齒	i m n t + i n t	
1792	Chengdu	tooth	ia²¹⁻⁵⁵ tsʰɿ⁰	ja²¹+tsʰɿ⁰	j a ²¹ + tsʰ ɿ ⁰	i a ⁵⁵/²¹ + tsʰ ɿ ⁰	TOOTH _tooth	363 364	988	857	481	牙齒	牙 齒		牙齒	m n t + i n t	
1793	Nanjing	tooth	iɑ¹³ tʂʰʅ¹¹	jɑ¹³+ʈʂʰʅ¹¹	j ɑ ¹³ + ʈʂʰ ʅ ¹¹	i ɑ ¹³ + ʈʂʰ ʅ ¹¹	TOOTH _tooth	363 364	988	857	481	牙齒	牙 齒		牙齒	m n t + i n t	
1794	Jixi	tooth	ŋo⁴⁴⁻³⁵ tsɿ²¹³	ŋo⁴⁴+tsɿ²¹³	ŋ o ⁴⁴ + ts ɿ ²¹³	ŋ o ³⁵/⁴⁴ + ts ɿ ²¹³	TOOTH _tooth	363 364	988	857	481	牙齒	牙 齒		牙齒	i n t + i n t	
1795	Suzhou	tooth	ŋɑ¹³⁻²² tsɿ⁵²⁻³¹	ŋɑ¹³+tsɿ⁵²	ŋ ɑ ¹³ + ts ɿ ⁵²	ŋ ɑ ²²/¹³ + ts ɿ ³¹/⁵²	TOOTH _tooth	363 19	988	859	481	牙子	牙 子		牙齒	i n t + i n t	
1796	Wenzhou	tooth	ŋo³⁴¹⁻⁴² tsʰɿ²⁴²⁻²²	ŋo³⁴¹+tsʰɿ²⁴²	ŋ o ³⁴¹ + tsʰ ɿ ²⁴²	ŋ o ⁴²/³⁴¹ + tsʰ ɿ ²²/²⁴²	TOOTH _tooth	363 364	988	857	481	牙齒	牙 齒		牙齒	i n t + i n t	
1797	Changsha	tooth	ŋa¹³ tsʰɿ⁴¹	ŋa¹³+tsʰɿ⁴¹	ŋ a ¹³ + tsʰ ɿ ⁴¹	ŋ a ¹³ + tsʰ ɿ ⁴¹	TOOTH _tooth	363 364	988	857	481	牙齒	牙 齒		牙齒	i n t + i n t	
1798	Loudi	tooth	ŋɔ¹³ dzɿ⁴²	ŋɔ¹³+dzɿ⁴²	ŋ ɔ ¹³ + dz ɿ ⁴²	ŋ ɔ ¹³ + dz ɿ ⁴²	TOOTH _tooth	363 364	988	857	481	牙齒	牙 齒		牙齒	i n t + i n t	
1799	Nanchang	tooth	ŋo⁴⁵ tsɿ⁰	ŋo⁴⁵+tsɿ⁰	ŋ o ⁴⁵ + ts ɿ ⁰	ŋ o ⁴⁵ + ts ɿ ⁰	TOOTH _tooth	363 364	988	857	481	牙齒	牙 齒		牙齒	i n t + i n t	
1800	Meixian	tooth	ŋa¹¹ tsʰɿ³¹	ŋa¹¹+tsʰɿ³¹	ŋ a ¹¹ + tsʰ ɿ ³¹	ŋ a ¹¹ + tsʰ ɿ ³¹	TOOTH _tooth	363 364	988	857	481	牙齒	牙 齒		牙齒	i n t + i n t	
1801	Guilin	tooth	ŋᴀ²² tɕʰi²³⁻³³	ŋa̠²²+tɕʰi²³	ŋ a̠ ²² + tɕʰ i ²³	ŋ a̠ ²² + tɕʰ i ³³/²³	TOOTH _tooth	363 364	988	857	481	牙齒	牙 齒		牙齒	i n t + i n t	
1802	Guangzhou	tooth	ŋa²¹ tsʰi³⁵	ŋa²¹+tsʰi³⁵	ŋ a ²¹ + tsʰ i ³⁵	ŋ a ²¹ + tsʰ i ³⁵	TOOTH _tooth	363 364	988	857	481	牙齒	牙 齒		牙齒	i n t + i n t	
1803	Fuzhou	tooth	kʰi³²	kʰi³²	kʰ i ³²	kʰ i ³²	TOOTH	364	989	860	481	齒	齒		牙齒	i n t	
1804	Xiamen	tooth	tsʰui²²⁻²¹ kʰi⁵³	tsʰwi²²+kʰi⁵³	tsʰ w i ²² + kʰ i ⁵³	tsʰ u i ²¹/²² + kʰ i ⁵³	_tooth TOOTH	365 364	989	861	481	喙齒	喙 齒		牙齒	i m n t + i n t	
1805	Beijing	smoke	iɛn⁵⁵	jɛn⁵⁵	j ɛ n ⁵⁵	i ɛ n ⁵⁵	SMOKE	366	807	707	386	煙	煙		煙	m n c t	
1806	Ha_erbin	smoke	ian⁴⁴	jan⁴⁴	j a n ⁴⁴	i a n ⁴⁴	SMOKE	366	807	707	386	煙	煙		煙	m n c t	
1807	Jinan	smoke	iæ̃²¹⁴	jæ̃²¹⁴	j æ̃ ²¹⁴	i æ̃ ∼ ²¹⁴	SMOKE	366	807	707	386	煙	煙		煙	m n c t	
1808	Rongcheng	smoke	iɐn⁵²	jɐn⁵²	j ɐ n ⁵²	i ɐ n ⁵²	SMOKE	366	807	707	386	煙	煙		煙	m n c t	
1809	Taiyuan	smoke	ie²¹	je²¹	j e ²¹	i e ²¹	SMOKE	366	807	707	386	煙	煙		煙	m n t	
1810	Xi_an	smoke	iæ̃²¹	jæ̃²¹	j æ̃ ²¹	i æ̃ ∼ ²¹	SMOKE	366	807	707	386	煙	煙		煙	m n c t	
1811	Chengdu	smoke	iɛn⁴⁵ iər⁵⁵	jɛn⁴⁵+jə⁵⁵	j ɛ n ⁴⁵ + j ə ⁵⁵	i ɛ n ⁴⁵ + i ə˞/ə ⁵⁵	SMOKE _smoke	366 366	807	708	386	煙煙兒	煙 煙		煙	m n c t + m nr t	
1812	Chengdu	smoke	iɛn⁴⁵ tsɿ⁵³⁻²¹	jɛn⁴⁵+tsɿ⁵³	j ɛ n ⁴⁵ + ts ɿ ⁵³	i ɛ n ⁴⁵ + ts ɿ ²¹/⁵³	SMOKE _smoke	366 19	807	709	386	煙子	煙 子		煙	m n c t + i n t	
1813	Nanjing	smoke	ien³¹	jen³¹	j e n ³¹	i e n ³¹	SMOKE	366	807	707	386	煙	煙		煙	m n c t	
1814	Jixi	smoke	iẽ⁵⁵	jẽ⁵⁵	j ẽ ⁵⁵	i ẽ ∼ ⁵⁵	SMOKE	366	807	707	386	煙	煙		煙	m n c t	
1815	Suzhou	smoke	iɪ⁴⁴	jɪ⁴⁴	j ɪ ⁴⁴	i ɪ ⁴⁴	SMOKE	366	807	707	386	煙	煙		煙	m n t	
1816	Wenzhou	smoke	i⁴⁴	i⁴⁴	i ⁴⁴	i ⁴⁴	SMOKE	366	807	707	386	煙	煙		煙	n t	
1817	Changsha	smoke	iẽ³³	jẽ³³	j ẽ ³³	i ẽ ∼ ³³	SMOKE	366	807	707	386	煙	煙		煙	m n c t	
1818	Loudi	smoke	niæ⁴⁴	njæ⁴⁴	n j æ ⁴⁴	n i æ ⁴⁴	SMOKE	366	807	707	386	煙	煙		煙	i m n t	
1819	Nanchang	smoke	iɛn⁴²	jɛn⁴²	j ɛ n ⁴²	i ɛ n ⁴²	SMOKE	366	807	707	386	煙	煙		煙	m n c t	
1820	Meixian	smoke	ian³³	jan³³	j a n ³³	i a n ³³	SMOKE	366	807	707	386	煙	煙		煙	m n c t	
1821	Guilin	smoke	iã⁴²	jã⁴²	j ã ⁴²	i ã ∼ ⁴²	SMOKE	366	807	707	386	煙	煙		煙	m n c t	
1822	Guangzhou	smoke	in⁵⁵	in⁵⁵	i n ⁵⁵	i n ⁵⁵	SMOKE	366	807	707	386	煙	煙		煙	n c t	
1823	Fuzhou	smoke	houŋ⁵⁵	houŋ⁵⁵	h ou ŋ ⁵⁵	h o u ŋ ⁵⁵	SMOKE	366	807	707	386	煙	煙		煙	i n N c t	
1824	Xiamen	smoke	hun⁵⁵	hun⁵⁵	h u n ⁵⁵	h u n ⁵⁵	SMOKE	366	807	707	386	煙	煙		煙	i n c t	
1825	Beijing	salt	iɛn³⁵	jɛn³⁵	j ɛ n ³⁵	i ɛ n ³⁵	SALT	367	740	645	345	盐	盐		鹽	m n c t	
1826	Ha_erbin	salt	ian²⁴	jan²⁴	j a n ²⁴	i a n ²⁴	SALT	367	740	645	345	盐	盐		鹽	m n c t	
1827	Jinan	salt	iæ̃⁵³	jæ̃⁵³	j æ̃ ⁵³	i æ̃ ∼ ⁵³	SALT	367	740	645	345	盐	盐		鹽	m n c t	
1828	Rongcheng	salt	iɐn⁵²	jɐn⁵²	j ɐ n ⁵²	i ɐ n ⁵²	SALT	367	740	645	345	盐	盐		鹽	m n c t	
1829	Taiyuan	salt	ɕie²¹ ie²¹	ɕje²¹+je²¹	ɕ j e ²¹ + j e ²¹	ɕ i e ²¹ + i e ²¹	_salt SALT	368 367	740	646	345	咸盐	咸 盐		鹽	i m n t + m n t	
1830	Xi_an	salt	iæ̃²⁴	jæ̃²⁴	j æ̃ ²⁴	i æ̃ ∼ ²⁴	SALT	367	740	645	345	盐	盐		鹽	m n c t	
1831	Chengdu	salt	iɛn²¹⁻⁵⁵ pa⁵⁵	jɛn²¹+pa⁵⁵	j ɛ n ²¹ + p a ⁵⁵	i ɛ n ⁵⁵/²¹ + p a ⁵⁵	SALT _salt	367 309	740	647	345	盐巴	盐 巴		鹽	m n c t + i n t	
1832	Nanjing	salt	ien¹³	jen¹³	j e n ¹³	i e n ¹³	SALT	367	740	645	345	盐	盐		鹽	m n c t	
1833	Jixi	salt	iẽ⁴⁴	jẽ⁴⁴	j ẽ ⁴⁴	i ẽ ∼ ⁴⁴	SALT	367	740	645	345	盐	盐		鹽	m n c t	
1834	Suzhou	salt	ɦiɪ¹³	ɦjɪ¹³	ɦ j ɪ ¹³	ɦ i ɪ ¹³	SALT	367	740	645	345	盐	盐		鹽	i m n t	
1835	Wenzhou	salt	ji³⁴¹	ji³⁴¹	j i ³⁴¹	j i ³⁴¹	SALT	367	740	645	345	盐	盐		鹽	i n t	
1836	Changsha	salt	iẽ¹³	jẽ¹³	j ẽ ¹³	i ẽ ∼ ¹³	SALT	367	740	645	345	盐	盐		鹽	m n c t	
1837	Loudi	salt	niæ¹³	njæ¹³	n j æ ¹³	n i æ ¹³	SALT	367	740	645	345	盐	盐		鹽	i m n t	
1838	Nanchang	salt	iɛn⁴⁵	jɛn⁴⁵	j ɛ n ⁴⁵	i ɛ n ⁴⁵	SALT	367	740	645	345	盐	盐		鹽	m n c t	
1839	Meixian	salt	iam¹¹	jam¹¹	j a m ¹¹	i a m ¹¹	SALT	367	740	645	345	盐	盐		鹽	m n c t	
1840	Guilin	salt	iã²²	jã²²	j ã ²²	i ã ∼ ²²	SALT	367	740	645	345	盐	盐		鹽	m n c t	
1841	Guangzhou	salt	im²¹	im²¹	i m ²¹	i m ²¹	SALT	367	740	645	345	盐	盐		鹽	n c t	
1842	Fuzhou	salt	sieŋ⁵³	sjeŋ⁵³	s j e ŋ ⁵³	s i e ŋ ⁵³	SALT	367	740	645	345	盐	盐		鹽	i m n c t	
1843	Xiamen	salt	iam²⁴	jam²⁴	j a m ²⁴	i a m ²⁴	SALT	367	740	645	345	盐	盐		鹽	m n c t	
1844	Beijing	eye	iɛn²¹³⁻²¹ tɕiŋ⁵⁵	jɛn²¹³+tɕiŋ⁵⁵	j ɛ n ²¹³ + tɕ i ŋ ⁵⁵	i ɛ n ²¹/²¹³ + tɕ i ŋ ⁵⁵	EYE _eye	369 370	204	187	116	眼睛	眼 睛		眼睛	m n c t + i n c t	
1845	Ha_erbin	eye	ian²¹³⁻²¹ tɕiŋ⁰	jan²¹³+tɕiŋ⁰	j a n ²¹³ + tɕ i ŋ ⁰	i a n ²¹/²¹³ + tɕ i ŋ ⁰	EYE _eye	369 370	204	187	116	眼睛	眼 睛		眼睛	m n c t + i n c t	
1846	Ha_erbin	eye	ian²¹³	jan²¹³	j a n ²¹³	i a n ²¹³	EYE	369	204	188	116	眼	眼		眼睛	m n c t	
1847	Jinan	eye	iæ̃⁴⁵⁻²¹³ tɕiŋ⁰	jæ̃⁴⁵+tɕiŋ⁰	j æ̃ ⁴⁵ + tɕ i ŋ ⁰	i æ̃ ∼ ²¹³/⁴⁵ + tɕ i ŋ ⁰	EYE _eye	369 370	204	187	116	眼睛	眼 睛		眼睛	m n c t + i n c t	
1848	Rongcheng	eye	iɐn²¹⁴ tsiŋ⁵²	jɐn²¹⁴+tsiŋ⁵²	j ɐ n ²¹⁴ + ts i ŋ ⁵²	i ɐ n ²¹⁴ + ts i ŋ ⁵²	EYE _eye	369 370	204	187	116	眼睛	眼 睛		眼睛	m n c t + i n c t	
1849	Taiyuan	eye	ie⁵³	je⁵³	j e ⁵³	i e ⁵³	EYE	369	204	188	116	眼	眼		眼睛	m n t	
1850	Taiyuan	eye	ie⁵³ tɕiŋ⁰	je⁵³+tɕiŋ⁰	j e ⁵³ + tɕ i ŋ ⁰	i e ⁵³ + tɕ i ŋ ⁰	EYE _eye	369 370	204	187	116	眼睛	眼 睛		眼睛	m n t + i n c t	
1851	Xi_an	eye	niæ̃⁵³ uo⁰	njæ̃⁵³+wo⁰	n j æ̃ ⁵³ + w o ⁰	n i æ̃ ∼ ⁵³ + u o ⁰	EYE _eye	369 371	204	189	116	眼窝	眼 窝		眼睛	i m n c t + m n t	
1852	Chengdu	eye	iɛn⁵³⁻⁵⁵ tɕin⁵⁵	jɛn⁵³+tɕin⁵⁵	j ɛ n ⁵³ + tɕ i n ⁵⁵	i ɛ n ⁵⁵/⁵³ + tɕ i n ⁵⁵	EYE _eye	369 370	204	187	116	眼睛	眼 睛		眼睛	m n c t + i n c t	
1853	Nanjing	eye	ien¹¹⁻²² tɕin⁰	jen¹¹+tɕin⁰	j e n ¹¹ + tɕ i n ⁰	i e n ²²/¹¹ + tɕ i n ⁰	EYE _eye	369 370	204	187	116	眼睛	眼 睛		眼睛	m n c t + i n c t	
1854	Jixi	eye	ŋo²¹³⁻³¹ tɕiɑ̃⁵⁵	ŋo²¹³+tɕjɑ̃⁵⁵	ŋ o ²¹³ + tɕ j ɑ̃ ⁵⁵	ŋ o ³¹/²¹³ + tɕ i ɑ̃ ∼ ⁵⁵	EYE _eye	369 370	204	187	116	眼睛	眼 睛		眼睛	i n t + i m n c t	
1855	Suzhou	eye	ŋᴇ²³¹⁻²² u⁴⁴ tsʯ⁴⁴⁻²¹	ŋe̞²³¹+u⁴⁴+tsʯ⁴⁴	ŋ e̞ ²³¹ + u ⁴⁴ + ts ʯ ⁴⁴	ŋ e̞ ²²/²³¹ + u ⁴⁴ + ts ʯ ²¹/⁴⁴	EYE _eye _eye	369 372 373	204	190	116	眼烏珠	眼 烏 珠		眼睛	i n t + n t + i n t	
1856	Wenzhou	eye	ŋa²⁴ leŋ³⁴¹⁻⁴² tsɿ⁴⁴⁻²¹	ŋa²⁴+leŋ³⁴¹+tsɿ⁴⁴	ŋ a ²⁴ + l e ŋ ³⁴¹ + ts ɿ ⁴⁴	ŋ a ²⁴ + l e ŋ ⁴²/³⁴¹ + ts ɿ ²¹/⁴⁴	EYE _eye _eye	369 374 373	204	191	116	眼灵珠	眼 灵 珠		眼睛	i n t + i n c t + i n t	
